Year,Type,Total,,,
2008,Causes Not known,609,,,
2009,Other Prolonged Illness,608,,,
2010,Other Causes (Please Specity),606,,,
2011,Drug Abuse/Addiction,606,,,
2005,Family Problems,606,,,
2007,Other Causes (Please Specity),605,,,
2004,Causes Not known,605,,,
2002,Family Problems,601,,,
2005,Family Problems,601,,,
2005,Family Problems,600,,,
2011,Family Problems,599,,,
2004,Other Causes (Please Specity),598,,,
2009,Family Problems,598,,,
2004,Family Problems,598,,,
2008,Family Problems,597,,,
2009,Other Prolonged Illness,596,,,
2012,Causes Not known,596,,,
2003,Other Prolonged Illness,596,,,
2007,Family Problems,595,,,
2005,Family Problems,594,,,
2007,Family Problems,593,,,
2010,Other Prolonged Illness,592,,,
2006,Causes Not known,589,,,
2004,Other Causes (Please Specity),588,,,
2002,Family Problems,588,,,
2010,Causes Not known,586,,,
2007,Other Prolonged Illness,585,,,
2008,Other Causes (Please Specity),585,,,
2005,Family Problems,585,,,
2008,Family Problems,584,,,
2010,Dowry Dispute,584,,,
2006,Causes Not known,581,,,
2007,Dowry Dispute,579,,,
2004,Family Problems,578,,,
2008,Other Causes (Please Specity),576,,,
2009,Other Causes (Please Specity),574,,,
2004,Other Prolonged Illness,573,,,
2010,Other Causes (Please Specity),573,,,
2006,Other Prolonged Illness,571,,,
2007,Other Causes (Please Specity),571,,,
2002,Family Problems,571,,,
2002,Causes Not known,571,,,
2011,Causes Not known,570,,,
2010,Other Prolonged Illness,569,,,
2002,Family Problems,569,,,
2012,Other Prolonged Illness,568,,,
2005,Other Causes (Please Specity),568,,,
2012,Other Causes (Please Specity),567,,,
2005,Causes Not known,566,,,
2006,Family Problems,566,,,
2008,Other Prolonged Illness,565,,,
2011,Other Causes (Please Specity),564,,,
2006,Family Problems,564,,,
2010,Causes Not known,563,,,
2010,Other Prolonged Illness,563,,,
2004,Other Prolonged Illness,562,,,
2012,Other Prolonged Illness,562,,,
2006,Other Prolonged Illness,559,,,
2007,Family Problems,558,,,
2011,Other Causes (Please Specity),557,,,
2004,Family Problems,557,,,
2009,Drug Abuse/Addiction,556,,,
2010,Other Prolonged Illness,555,,,
2006,Love Affairs,555,,,
2004,Family Problems,554,,,
2004,Other Prolonged Illness,553,,,
2011,Causes Not known,553,,,
2012,Family Problems,552,,,
2011,Dowry Dispute,551,,,
2004,Other Prolonged Illness,550,,,
2011,Other Causes (Please Specity),549,,,
2002,Other Causes (Please Specity),548,,,
2002,Causes Not known,548,,,
2007,Other Prolonged Illness,548,,,
2007,Other Causes (Please Specity),547,,,
2004,Family Problems,547,,,
2002,Other Prolonged Illness,546,,,
2008,Other Causes (Please Specity),546,,,
2010,Other Causes (Please Specity),546,,,
2002,Family Problems,545,,,
2008,Other Prolonged Illness,545,,,
2011,Other Prolonged Illness,545,,,
2011,Other Prolonged Illness,543,,,
2009,Family Problems,543,,,
2007,Family Problems,541,,,
2008,Family Problems,541,,,
2006,Other Causes (Please Specity),540,,,
2007,Other Causes (Please Specity),540,,,
2009,Causes Not known,539,,,
2003,Other Prolonged Illness,538,,,
2011,Other Causes (Please Specity),537,,,
2012,Other Prolonged Illness,536,,,
2007,Other Prolonged Illness,535,,,
2005,Causes Not known,535,,,
2005,Family Problems,535,,,
2009,Family Problems,535,,,
2004,Family Problems,534,,,
2008,Family Problems,534,,,
2003,Family Problems,533,,,
2006,Other Prolonged Illness,533,,,
2007,Family Problems,533,,,
2002,Other Prolonged Illness,532,,,
2009,Other Prolonged Illness,532,,,
2009,Causes Not known,532,,,
2012,Family Problems,531,,,
2006,Other Prolonged Illness,531,,,
2003,Other Prolonged Illness,530,,,
2012,Other Prolonged Illness,530,,,
2011,Other Prolonged Illness,529,,,
2007,Causes Not known,527,,,
2002,Family Problems,527,,,
2004,Causes Not known,527,,,
2011,Other Prolonged Illness,526,,,
2011,Other Causes (Please Specity),526,,,
2012,Family Problems,524,,,
2009,Causes Not known,524,,,
2003,Family Problems,523,,,
2004,Causes Not known,523,,,
2007,Family Problems,522,,,
2012,Family Problems,522,,,
2011,Other Prolonged Illness,521,,,
2011,Other Prolonged Illness,521,,,
2004,Other Prolonged Illness,519,,,
2011,Other Causes (Please Specity),518,,,
2003,Family Problems,517,,,
2004,Family Problems,517,,,
2005,Family Problems,516,,,
2010,Causes Not known,516,,,
2011,Other Prolonged Illness,516,,,
2008,Causes Not known,516,,,
2008,Other Causes (Please Specity),516,,,
2010,Causes Not known,515,,,
2004,Dowry Dispute,515,,,
2010,Causes Not known,515,,,
2006,Love Affairs,515,,,
2006,Other Prolonged Illness,514,,,
2005,Other Causes (Please Specity),513,,,
2007,Family Problems,513,,,
2011,Family Problems,512,,,
2002,Family Problems,511,,,
2006,Family Problems,511,,,
2011,Causes Not known,511,,,
2010,Other Causes (Please Specity),509,,,
2004,Causes Not known,509,,,
2009,Dowry Dispute,509,,,
2003,Other Causes (Please Specity),508,,,
2009,Other Prolonged Illness,508,,,
2005,Other Prolonged Illness,508,,,
2010,Other Prolonged Illness,508,,,
2011,Other Causes (Please Specity),505,,,
2009,Other Prolonged Illness,504,,,
2008,Other Prolonged Illness,503,,,
2009,Family Problems,503,,,
2012,Other Prolonged Illness,502,,,
2005,Drug Abuse/Addiction,502,,,
2010,Other Prolonged Illness,501,,,
2007,Other Prolonged Illness,500,,,
2007,Other Prolonged Illness,499,,,
2009,Causes Not known,498,,,
2003,Family Problems,497,,,
2005,Other Causes (Please Specity),497,,,
2011,Dowry Dispute,496,,,
2008,Causes Not known,496,,,
2003,Family Problems,494,,,
2002,Family Problems,493,,,
2008,Family Problems,493,,,
2006,Other Prolonged Illness,492,,,
2007,Other Prolonged Illness,492,,,
2008,Other Causes (Please Specity),492,,,
2010,Causes Not known,492,,,
2012,Other Causes (Please Specity),492,,,
2005,Other Causes (Please Specity),491,,,
2011,Other Causes (Please Specity),491,,,
2003,Family Problems,490,,,
2003,Other Prolonged Illness,488,,,
2006,Other Prolonged Illness,488,,,
2006,Causes Not known,488,,,
2012,Other Prolonged Illness,488,,,
2007,Family Problems,487,,,
2004,Other Prolonged Illness,487,,,
2010,Family Problems,487,,,
2009,Family Problems,486,,,
2011,Other Causes (Please Specity),486,,,
2007,Other Prolonged Illness,486,,,
2008,Family Problems,486,,,
2008,Other Prolonged Illness,486,,,
2007,Causes Not known,485,,,
2008,Dowry Dispute,485,,,
2003,Other Prolonged Illness,484,,,
2010,Other Prolonged Illness,484,,,
2012,Family Problems,483,,,
2006,Drug Abuse/Addiction,483,,,
2007,Drug Abuse/Addiction,483,,,
2004,Causes Not known,482,,,
2003,Other Causes (Please Specity),481,,,
2006,Dowry Dispute,480,,,
2002,Other Causes (Please Specity),480,,,
2011,Family Problems,480,,,
2010,Other Causes (Please Specity),479,,,
2008,Family Problems,479,,,
2010,Poverty,478,,,
2009,Family Problems,478,,,
2012,Family Problems,477,,,
2007,Dowry Dispute,477,,,
2012,Other Prolonged Illness,476,,,
2012,Other Causes (Please Specity),476,,,
2011,Other Causes (Please Specity),475,,,
2012,Dowry Dispute,475,,,
2009,Other Prolonged Illness,475,,,
2006,Other Causes (Please Specity),473,,,
2005,Other Prolonged Illness,473,,,
2010,Family Problems,472,,,
2002,Family Problems,472,,,
2004,Other Prolonged Illness,471,,,
2009,Other Causes (Please Specity),471,,,
2011,Family Problems,470,,,
2009,Other Prolonged Illness,470,,,
2003,Causes Not known,469,,,
2004,Drug Abuse/Addiction,469,,,
2008,Family Problems,467,,,
2011,Family Problems,467,,,
2010,Dowry Dispute,467,,,
2007,Other Prolonged Illness,466,,,
2008,Drug Abuse/Addiction,464,,,
2004,Other Prolonged Illness,463,,,
2005,Other Prolonged Illness,462,,,
2009,Causes Not known,462,,,
2005,Causes Not known,462,,,
2006,Family Problems,461,,,
2004,Other Causes (Please Specity),460,,,
2011,Other Prolonged Illness,460,,,
2002,Other Prolonged Illness,460,,,
2010,Causes Not known,460,,,
2009,Dowry Dispute,459,,,
2007,Family Problems,458,,,
2003,Other Causes (Please Specity),457,,,
2009,Other Causes (Please Specity),457,,,
2009,Poverty,456,,,
2011,Family Problems,455,,,
2008,Other Prolonged Illness,455,,,
2010,Other Causes (Please Specity),455,,,
2005,Other Causes (Please Specity),454,,,
2005,Other Causes (Please Specity),454,,,
2006,Other Prolonged Illness,454,,,
2002,Causes Not known,454,,,
2002,Causes Not known,453,,,
2007,Other Causes (Please Specity),453,,,
2011,Other Prolonged Illness,453,,,
2012,Drug Abuse/Addiction,453,,,
2005,Family Problems,453,,,
2010,Other Prolonged Illness,452,,,
2008,Causes Not known,452,,,
2012,Other Causes (Please Specity),451,,,
2008,Other Prolonged Illness,451,,,
2006,Causes Not known,451,,,
2002,Causes Not known,450,,,
2003,Family Problems,449,,,
2012,Other Prolonged Illness,448,,,
2003,Family Problems,448,,,
2004,Family Problems,448,,,
2006,Causes Not known,448,,,
2007,Causes Not known,447,,,
2007,Family Problems,447,,,
2006,Family Problems,446,,,
2004,Family Problems,446,,,
2010,Family Problems,446,,,
2011,Other Prolonged Illness,445,,,
2012,Family Problems,444,,,
2005,Dowry Dispute,444,,,
2004,Other Causes (Please Specity),444,,,
2011,Family Problems,443,,,
2010,Family Problems,443,,,
2011,Other Causes (Please Specity),442,,,
2012,Other Prolonged Illness,441,,,
2008,Other Prolonged Illness,441,,,
2002,Family Problems,440,,,
2008,Other Prolonged Illness,440,,,
2002,Other Prolonged Illness,439,,,
2012,Drug Abuse/Addiction,439,,,
2004,Other Prolonged Illness,438,,,
2006,Other Causes (Please Specity),437,,,
2008,Other Prolonged Illness,437,,,
2012,Other Causes (Please Specity),437,,,
2007,Family Problems,436,,,
2009,Other Prolonged Illness,435,,,
2012,Causes Not known,435,,,
2002,Other Prolonged Illness,435,,,
2004,Other Causes (Please Specity),435,,,
2006,Family Problems,435,,,
2011,Causes Not known,435,,,
2005,Family Problems,435,,,
2011,Causes Not known,434,,,
2009,Other Causes (Please Specity),434,,,
2009,Family Problems,434,,,
2004,Family Problems,433,,,
2006,Causes Not known,433,,,
2010,Causes Not known,433,,,
2005,Family Problems,433,,,
2011,Family Problems,432,,,
2012,Causes Not known,432,,,
2012,Family Problems,432,,,
2011,Other Prolonged Illness,432,,,
2002,Family Problems,432,,,
2004,Other Causes (Please Specity),432,,,
2008,Poverty,431,,,
2004,Family Problems,430,,,
2010,Other Causes (Please Specity),430,,,
2006,Other Causes (Please Specity),429,,,
2003,Other Prolonged Illness,428,,,
2002,Other Prolonged Illness,426,,,
2003,Family Problems,426,,,
2012,Family Problems,425,,,
2010,Causes Not known,425,,,
2005,Other Prolonged Illness,425,,,
2010,Insanity/Mental Illness,424,,,
2010,Causes Not known,423,,,
2003,Other Causes (Please Specity),422,,,
2009,Other Prolonged Illness,422,,,
2003,Dowry Dispute,422,,,
2002,Other Prolonged Illness,422,,,
2012,Other Prolonged Illness,422,,,
2003,Other Prolonged Illness,422,,,
2003,Family Problems,421,,,
2009,Other Causes (Please Specity),420,,,
2006,Other Prolonged Illness,420,,,
2006,Other Prolonged Illness,420,,,
2003,Family Problems,419,,,
2003,Causes Not known,419,,,
2002,Other Prolonged Illness,418,,,
2002,Other Causes (Please Specity),418,,,
2003,Other Causes (Please Specity),418,,,
2005,Family Problems,418,,,
2002,Family Problems,418,,,
2010,Family Problems,418,,,
2010,Family Problems,417,,,
2010,Other Causes (Please Specity),417,,,
2002,Dowry Dispute,417,,,
2007,Other Causes (Please Specity),416,,,
2008,Causes Not known,415,,,
2004,Other Prolonged Illness,415,,,
2006,Family Problems,415,,,
2011,Causes Not known,414,,,
2011,Causes Not known,414,,,
2004,Causes Not known,414,,,
2010,Other Causes (Please Specity),413,,,
2010,Family Problems,413,,,
2005,Love Affairs,413,,,
2009,Causes Not known,412,,,
2012,Causes Not known,412,,,
2003,Other Prolonged Illness,412,,,
2005,Other Causes (Please Specity),412,,,
2012,Family Problems,412,,,
2012,Other Prolonged Illness,412,,,
2006,Other Prolonged Illness,411,,,
2007,Causes Not known,411,,,
2007,Other Causes (Please Specity),411,,,
2008,Other Causes (Please Specity),411,,,
2010,Family Problems,410,,,
2012,Causes Not known,409,,,
2006,Other Causes (Please Specity),408,,,
2006,Causes Not known,407,,,
2002,Family Problems,407,,,
2007,Other Prolonged Illness,406,,,
2009,Other Prolonged Illness,406,,,
2009,Other Prolonged Illness,406,,,
2003,Causes Not known,406,,,
2005,Other Prolonged Illness,405,,,
2008,Causes Not known,405,,,
2010,Other Prolonged Illness,405,,,
2011,Other Prolonged Illness,405,,,
2010,Causes Not known,404,,,
2009,Other Causes (Please Specity),404,,,
2009,Bankruptcy,403,,,
2007,Family Problems,403,,,
2009,Causes Not known,403,,,
2007,Causes Not known,403,,,
2011,Poverty,402,,,
2009,Other Causes (Please Specity),402,,,
2012,Causes Not known,402,,,
2009,Poverty,401,,,
2004,Other Prolonged Illness,401,,,
2012,Bankruptcy,400,,,
2007,Other Causes (Please Specity),399,,,
2002,Causes Not known,399,,,
2007,Other Prolonged Illness,399,,,
2007,Other Prolonged Illness,399,,,
2002,Other Prolonged Illness,397,,,
2003,Causes Not known,397,,,
2010,Other Causes (Please Specity),397,,,
2003,Family Problems,397,,,
2010,Other Prolonged Illness,396,,,
2012,Other Causes (Please Specity),396,,,
2007,Dowry Dispute,396,,,
2007,Poverty,395,,,
2006,Other Prolonged Illness,395,,,
2010,Other Causes (Please Specity),395,,,
2008,Poverty,394,,,
2012,Causes Not known,394,,,
2008,Other Prolonged Illness,393,,,
2004,Causes Not known,393,,,
2002,Causes Not known,393,,,
2008,Causes Not known,393,,,
2011,Family Problems,393,,,
2004,Poverty,392,,,
2010,Family Problems,392,,,
2002,Family Problems,391,,,
2011,Family Problems,391,,,
2006,Family Problems,391,,,
2002,Other Prolonged Illness,391,,,
2010,Dowry Dispute,391,,,
2012,Other Causes (Please Specity),390,,,
2006,Other Prolonged Illness,390,,,
2003,Other Prolonged Illness,390,,,
2002,Family Problems,390,,,
2011,Causes Not known,390,,,
2008,Causes Not known,389,,,
2010,Other Causes (Please Specity),389,,,
2011,Bankruptcy,388,,,
2002,Family Problems,388,,,
2004,Causes Not known,388,,,
2005,Family Problems,387,,,
2008,Family Problems,387,,,
2004,Family Problems,387,,,
2011,Family Problems,387,,,
2005,Other Prolonged Illness,386,,,
2009,Other Causes (Please Specity),386,,,
2005,Other Causes (Please Specity),386,,,
2005,Other Prolonged Illness,385,,,
2012,Family Problems,385,,,
2008,Other Prolonged Illness,385,,,
2010,Causes Not known,385,,,
2007,Family Problems,384,,,
2006,Other Causes (Please Specity),384,,,
2005,Family Problems,384,,,
2012,Causes Not known,383,,,
2005,Other Prolonged Illness,383,,,
2005,Other Prolonged Illness,382,,,
2007,Other Prolonged Illness,382,,,
2012,Other Causes (Please Specity),382,,,
2007,Causes Not known,382,,,
2010,Poverty,381,,,
2011,Causes Not known,381,,,
2003,Other Prolonged Illness,381,,,
2004,Family Problems,381,,,
2003,Causes Not known,380,,,
2012,Other Prolonged Illness,380,,,
2008,Causes Not known,379,,,
2004,Other Prolonged Illness,379,,,
2006,Other Prolonged Illness,379,,,
2008,Other Prolonged Illness,377,,,
2008,Causes Not known,375,,,
2010,Other Causes (Please Specity),375,,,
2012,Causes Not known,375,,,
2006,Other Prolonged Illness,375,,,
2007,Family Problems,374,,,
2012,Other Causes (Please Specity),374,,,
2008,Other Causes (Please Specity),374,,,
2010,Causes Not known,374,,,
2012,Family Problems,374,,,
2004,Other Prolonged Illness,373,,,
2009,Other Causes (Please Specity),373,,,
2011,Other Prolonged Illness,373,,,
2005,Causes Not known,373,,,
2009,Other Causes (Please Specity),372,,,
2005,Family Problems,372,,,
2008,Family Problems,372,,,
2008,Family Problems,371,,,
2009,Causes Not known,371,,,
2003,Other Prolonged Illness,371,,,
2009,Other Causes (Please Specity),370,,,
2007,Other Prolonged Illness,370,,,
2007,Other Causes (Please Specity),370,,,
2005,Other Prolonged Illness,369,,,
2007,Other Prolonged Illness,369,,,
2002,Other Causes (Please Specity),369,,,
2005,Other Prolonged Illness,368,,,
2005,Other Prolonged Illness,368,,,
2008,Other Prolonged Illness,368,,,
2007,Other Prolonged Illness,368,,,
2012,Other Prolonged Illness,368,,,
2004,Family Problems,367,,,
2012,Other Prolonged Illness,367,,,
2005,Other Prolonged Illness,367,,,
2012,Other Prolonged Illness,367,,,
2007,Family Problems,367,,,
2008,Family Problems,367,,,
2010,Insanity/Mental Illness,367,,,
2005,Other Causes (Please Specity),366,,,
2007,Other Causes (Please Specity),366,,,
2008,Other Causes (Please Specity),366,,,
2002,Family Problems,366,,,
2008,Other Prolonged Illness,365,,,
2005,Causes Not known,364,,,
2011,Other Causes (Please Specity),364,,,
2002,Bankruptcy,364,,,
2008,Other Prolonged Illness,364,,,
2005,Other Causes (Please Specity),364,,,
2005,Bankruptcy,363,,,
2002,Other Causes (Please Specity),363,,,
2011,Causes Not known,363,,,
2005,Family Problems,362,,,
2006,Poverty,362,,,
2005,Causes Not known,362,,,
2007,Other Prolonged Illness,362,,,
2003,Love Affairs,362,,,
2002,Other Causes (Please Specity),361,,,
2003,Other Causes (Please Specity),361,,,
2004,Other Prolonged Illness,361,,,
2012,Family Problems,361,,,
2003,Drug Abuse/Addiction,361,,,
2002,Other Causes (Please Specity),360,,,
2004,Poverty,360,,,
2009,Family Problems,360,,,
2005,Other Causes (Please Specity),360,,,
2003,Other Prolonged Illness,360,,,
2008,Other Causes (Please Specity),360,,,
2012,Other Prolonged Illness,360,,,
2009,Family Problems,359,,,
2002,Bankruptcy,359,,,
2008,Family Problems,359,,,
2008,Other Prolonged Illness,359,,,
2010,Other Prolonged Illness,359,,,
2011,Drug Abuse/Addiction,359,,,
2011,Family Problems,358,,,
2010,Family Problems,358,,,
2002,Causes Not known,357,,,
2004,Family Problems,357,,,
2006,Other Causes (Please Specity),357,,,
2004,Other Prolonged Illness,356,,,
2011,Causes Not known,356,,,
2005,Bankruptcy,356,,,
2007,Insanity/Mental Illness,356,,,
2011,Other Prolonged Illness,356,,,
2012,Other Causes (Please Specity),356,,,
2002,Other Causes (Please Specity),355,,,
2010,Other Prolonged Illness,355,,,
2005,Other Prolonged Illness,355,,,
2009,Family Problems,355,,,
2006,Bankruptcy,355,,,
2006,Bankruptcy,354,,,
2012,Other Prolonged Illness,354,,,
2006,Other Prolonged Illness,354,,,
2008,Family Problems,354,,,
2004,Other Causes (Please Specity),353,,,
2008,Other Causes (Please Specity),353,,,
2011,Drug Abuse/Addiction,353,,,
2006,Family Problems,352,,,
2006,Other Prolonged Illness,352,,,
2003,Failure in Examination,352,,,
2008,Causes Not known,352,,,
2008,Family Problems,351,,,
2006,Other Causes (Please Specity),351,,,
2002,Causes Not known,351,,,
2006,Causes Not known,351,,,
2007,Bankruptcy,351,,,
2008,Other Causes (Please Specity),351,,,
2004,Other Causes (Please Specity),351,,,
2003,Other Causes (Please Specity),350,,,
2002,Family Problems,349,,,
2009,Insanity/Mental Illness,349,,,
2012,Causes Not known,349,,,
2006,Family Problems,349,,,
2009,Other Prolonged Illness,349,,,
2009,Other Causes (Please Specity),348,,,
2007,Other Causes (Please Specity),348,,,
2003,Causes Not known,348,,,
2008,Family Problems,347,,,
2009,Other Prolonged Illness,347,,,
2010,Family Problems,347,,,
2003,Other Prolonged Illness,345,,,
2009,Family Problems,345,,,
2006,Other Prolonged Illness,345,,,
2002,Other Causes (Please Specity),345,,,
2003,Love Affairs,345,,,
2007,Insanity/Mental Illness,345,,,
2011,Love Affairs,345,,,
2004,Other Prolonged Illness,344,,,
2005,Other Prolonged Illness,344,,,
2007,Causes Not known,343,,,
2009,Other Prolonged Illness,343,,,
2010,Drug Abuse/Addiction,343,,,
2011,Other Causes (Please Specity),343,,,
2009,Other Prolonged Illness,342,,,
2008,Family Problems,342,,,
2009,Causes Not known,342,,,
2011,Other Causes (Please Specity),342,,,
2007,Other Prolonged Illness,341,,,
2003,Bankruptcy,341,,,
2005,Causes Not known,341,,,
2010,Drug Abuse/Addiction,341,,,
2008,Causes Not known,341,,,
2012,Poverty,340,,,
2011,Family Problems,340,,,
2009,Causes Not known,340,,,
2011,Other Prolonged Illness,340,,,
2008,Bankruptcy,340,,,
2010,Other Prolonged Illness,338,,,
2007,Causes Not known,338,,,
2006,Insanity/Mental Illness,338,,,
2006,Causes Not known,338,,,
2006,Other Prolonged Illness,338,,,
2002,Other Prolonged Illness,338,,,
2011,Other Causes (Please Specity),338,,,
2011,Bankruptcy,337,,,
2002,Causes Not known,337,,,
2004,Other Causes (Please Specity),337,,,
2011,Family Problems,337,,,
2002,Other Causes (Please Specity),337,,,
2005,Other Causes (Please Specity),337,,,
2010,Other Causes (Please Specity),337,,,
2002,Other Prolonged Illness,335,,,
2006,Other Prolonged Illness,335,,,
2010,Other Prolonged Illness,335,,,
2007,Insanity/Mental Illness,335,,,
2004,Other Causes (Please Specity),335,,,
2008,Other Causes (Please Specity),335,,,
2011,Other Causes (Please Specity),335,,,
2011,Insanity/Mental Illness,335,,,
2003,Family Problems,334,,,
2008,Other Causes (Please Specity),334,,,
2004,Causes Not known,334,,,
2011,Causes Not known,334,,,
2002,Other Prolonged Illness,334,,,
2010,Other Causes (Please Specity),334,,,
2006,Property Dispute,334,,,
2007,Bankruptcy,333,,,
2002,Other Causes (Please Specity),332,,,
2003,Family Problems,332,,,
2010,Family Problems,332,,,
2004,Bankruptcy,331,,,
2009,Causes Not known,331,,,
