STATE/UT,YEAR,CAUSE,CASES,January,February,March,April,May,June,July,August,September,October,November,December
GOA,2007,Other Railway Accidents,27,0,2,0,4,6,3,2,2,3,2,3,0
GOA,2007,Total,4049,365,364,332,379,398,302,247,276,338,322,356,370
GOA,2008,Road Accidents,4179,396,350,384,354,400,309,276,326,305,340,339,400
GOA,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Other Railway Accidents,30,2,1,5,0,3,1,3,3,2,3,2,5
GOA,2008,Total,4209,398,351,389,354,403,310,279,329,307,343,341,405
GOA,2009,Road Accidents,4170,389,351,370,327,370,306,279,302,324,323,371,458
GOA,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2009,Other Railway Accidents,40,3,6,1,4,6,3,3,3,2,1,3,5
GOA,2009,Total,4210,392,357,371,331,376,309,282,305,326,324,374,463
GOA,2010,Road Accidents,4574,472,411,392,393,422,307,294,346,334,381,388,434
GOA,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2010,Other Railway Accidents,55,5,4,7,5,4,2,4,3,7,5,6,3
GOA,2010,Total,4629,477,415,399,398,426,309,298,349,341,386,394,437
GOA,2011,Road Accidents,4561,486,400,370,369,421,353,307,331,312,373,395,444
GOA,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2011,Other Railway Accidents,42,2,3,3,2,3,5,4,6,3,2,6,3
GOA,2011,Total,4603,488,403,373,371,424,358,311,337,315,375,401,447
GOA,2012,Road Accidents,4288,428,317,343,332,393,328,309,357,346,339,391,405
GOA,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2012,Other Railway Accidents,74,2,6,9,13,3,3,4,5,9,3,7,10
GOA,2012,Total,4362,430,323,352,345,396,331,313,362,355,342,398,415
GUJARAT,2001,Road Accidents,19808,1657,1600,1791,1744,1935,1566,1420,1533,1448,1602,1769,1743
GUJARAT,2001,Rail-Road Accidents,24,2,0,2,3,4,2,1,4,1,2,3,0
GUJARAT,2001,Other Railway Accidents,1103,82,83,94,96,107,92,99,113,89,81,81,86
GUJARAT,2001,Total,20935,1741,1683,1887,1843,2046,1660,1520,1650,1538,1685,1853,1829
GUJARAT,2002,Road Accidents,18740,1652,1529,1186,1446,1840,1723,1498,1515,1434,1616,1644,1657
GUJARAT,2002,Rail-Road Accidents,27,0,2,2,1,0,7,4,2,3,1,1,4
GUJARAT,2002,Other Railway Accidents,1251,94,78,71,95,121,106,115,115,121,119,126,90
GUJARAT,2002,Total,20018,1746,1609,1259,1542,1961,1836,1617,1632,1558,1736,1771,1751
GUJARAT,2003,Road Accidents,18102,1616,1457,1456,1395,1780,1499,1276,1439,1404,1620,1501,1659
GUJARAT,2003,Rail-Road Accidents,68,5,5,7,5,4,6,4,2,5,13,7,5
GUJARAT,2003,Other Railway Accidents,1234,106,94,80,101,118,103,91,115,116,110,115,85
GUJARAT,2003,Total,19404,1727,1556,1543,1501,1902,1608,1371,1556,1525,1743,1623,1749
GUJARAT,2004,Road Accidents,18478,1669,1580,1601,1606,1771,1493,1357,1119,1471,1476,1673,1662
GUJARAT,2004,Rail-Road Accidents,69,8,5,9,8,2,5,7,4,7,4,4,6
GUJARAT,2004,Other Railway Accidents,1048,75,88,81,104,92,85,96,88,89,80,98,72
GUJARAT,2004,Total,19595,1752,1673,1691,1718,1865,1583,1460,1211,1567,1560,1775,1740
GUJARAT,2005,Road Accidents,18541,1586,1575,1625,1583,1928,1559,1321,1342,1292,1477,1661,1592
GUJARAT,2005,Rail-Road Accidents,34,4,3,4,2,1,4,2,4,1,4,2,3
GUJARAT,2005,Other Railway Accidents,1130,94,82,103,91,89,106,90,104,87,116,81,87
GUJARAT,2005,Total,19705,1684,1660,1732,1676,2018,1669,1413,1450,1380,1597,1744,1682
GUJARAT,2006,Road Accidents,18944,1706,1557,1721,1703,1950,1512,1323,1172,1423,1575,1578,1724
GUJARAT,2006,Rail-Road Accidents,36,4,0,3,5,4,2,2,6,1,2,3,4
GUJARAT,2006,Other Railway Accidents,1117,79,91,75,77,119,92,69,88,103,120,107,97
GUJARAT,2006,Total,20097,1789,1648,1799,1785,2073,1606,1394,1266,1527,1697,1688,1825
GUJARAT,2007,Road Accidents,21433,1898,1743,1918,1959,2169,1806,1509,1505,1613,1732,1867,1714
GUJARAT,2007,Rail-Road Accidents,63,5,0,6,3,4,9,5,7,9,3,5,7
GUJARAT,2007,Other Railway Accidents,1196,93,94,83,111,113,91,96,120,99,109,99,88
GUJARAT,2007,Total,22692,1996,1837,2007,2073,2286,1906,1610,1632,1721,1844,1971,1809
GUJARAT,2008,Road Accidents,21027,1843,1878,1943,1969,2091,1782,1562,1461,1471,1722,1605,1700
GUJARAT,2008,Rail-Road Accidents,84,5,5,9,7,6,7,5,4,5,9,15,7
GUJARAT,2008,Other Railway Accidents,1147,91,110,81,92,114,95,95,94,96,108,92,79
GUJARAT,2008,Total,22258,1939,1993,2033,2068,2211,1884,1662,1559,1572,1839,1712,1786
GUJARAT,2009,Road Accidents,20101,1742,1603,1743,1628,1937,1640,1339,1594,1613,1752,1674,1836
GUJARAT,2009,Rail-Road Accidents,64,10,4,7,4,4,7,4,5,5,5,4,5
GUJARAT,2009,Other Railway Accidents,1026,77,77,100,86,101,105,79,79,87,87,68,80
GUJARAT,2009,Total,21191,1829,1684,1850,1718,2042,1752,1422,1678,1705,1844,1746,1921
GUJARAT,2010,Road Accidents,20498,1892,1716,1803,1717,2042,1730,1469,1310,1391,1639,1860,1929
GUJARAT,2010,Rail-Road Accidents,69,5,9,8,4,7,9,3,7,6,6,4,1
GUJARAT,2010,Other Railway Accidents,1011,83,51,76,80,91,94,101,101,81,94,93,66
GUJARAT,2010,Total,21578,1980,1776,1887,1801,2140,1833,1573,1418,1478,1739,1957,1996
GUJARAT,2011,Road Accidents,30199,2626,2601,2629,2447,3056,2558,2346,2212,2169,2617,2524,2414
GUJARAT,2011,Rail-Road Accidents,42,3,1,5,6,4,4,4,4,2,3,5,1
GUJARAT,2011,Other Railway Accidents,1070,92,65,93,75,106,95,73,119,93,97,77,85
GUJARAT,2011,Total,31311,2721,2667,2727,2528,3166,2657,2423,2335,2264,2717,2606,2500
GUJARAT,2012,Road Accidents,27267,2549,2483,2370,2400,2486,2313,2098,2076,1948,2153,2294,2097
GUJARAT,2012,Rail-Road Accidents,56,3,4,7,5,6,4,5,4,5,5,4,4
GUJARAT,2012,Other Railway Accidents,1068,76,69,78,82,105,89,100,95,100,86,102,86
GUJARAT,2012,Total,28391,2628,2556,2455,2487,2597,2406,2203,2175,2053,2244,2400,2187
HARYANA,2001,Road Accidents,6373,481,506,517,543,543,520,540,509,540,542,571,561
HARYANA,2001,Rail-Road Accidents,7,0,1,2,1,0,1,1,1,0,0,0,0
HARYANA,2001,Other Railway Accidents,1231,132,161,90,140,105,94,179,69,58,61,72,70
HARYANA,2001,Total,7611,613,668,609,684,648,615,720,579,598,603,643,631
HARYANA,2002,Road Accidents,7087,513,524,595,593,583,641,586,596,559,657,615,625
HARYANA,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2002,Total,7087,513,524,595,593,583,641,586,596,559,657,615,625
HARYANA,2003,Road Accidents,6424,468,512,534,528,581,480,545,493,542,568,662,511
HARYANA,2003,Rail-Road Accidents,11,1,0,2,1,1,0,1,1,2,0,1,1
HARYANA,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2003,Total,6435,469,512,536,529,582,480,546,494,544,568,663,512
HARYANA,2004,Road Accidents,7908,591,657,658,629,633,673,669,659,655,685,692,707
HARYANA,2004,Rail-Road Accidents,18,1,1,3,0,1,2,4,0,0,3,1,2
HARYANA,2004,Other Railway Accidents,1293,135,165,95,146,110,101,184,76,63,66,76,76
HARYANA,2004,Total,9219,727,823,756,775,744,776,857,735,718,754,769,785
HARYANA,2005,Road Accidents,7682,626,514,604,598,692,634,664,682,565,704,703,696
HARYANA,2005,Rail-Road Accidents,17,1,1,2,0,1,2,4,1,0,2,0,3
HARYANA,2005,Other Railway Accidents,1366,139,172,107,153,115,109,191,86,72,71,76,75
HARYANA,2005,Total,9065,766,687,713,751,808,745,859,769,637,777,779,774
HARYANA,2006,Road Accidents,10262,792,736,854,855,876,858,823,861,847,939,878,943
HARYANA,2006,Rail-Road Accidents,14,0,1,0,0,2,2,0,1,1,2,3,2
HARYANA,2006,Other Railway Accidents,1526,103,96,138,130,124,160,150,121,124,130,130,120
HARYANA,2006,Total,11802,895,833,992,985,1002,1020,973,983,972,1071,1011,1065
HARYANA,2007,Road Accidents,10316,825,780,839,839,881,871,859,909,873,904,834,902
HARYANA,2007,Rail-Road Accidents,13,1,0,1,0,1,2,1,0,1,2,3,1
HARYANA,2007,Other Railway Accidents,1092,67,60,102,96,88,124,114,85,84,85,86,101
HARYANA,2007,Total,11421,893,840,942,935,970,997,974,994,958,991,923,1004
HARYANA,2008,Road Accidents,11241,911,869,1001,998,951,847,899,909,910,1052,939,955
HARYANA,2008,Rail-Road Accidents,25,3,4,4,2,2,5,2,0,0,1,1,1
HARYANA,2008,Other Railway Accidents,1081,85,89,98,95,87,92,94,97,88,89,81,86
HARYANA,2008,Total,12347,999,962,1103,1095,1040,944,995,1006,998,1142,1021,1042
HARYANA,2009,Road Accidents,11427,808,963,982,928,973,977,931,929,875,966,1080,1015
HARYANA,2009,Rail-Road Accidents,14,1,3,2,2,1,0,0,1,2,1,1,0
HARYANA,2009,Other Railway Accidents,1131,89,100,102,98,93,97,96,99,93,92,85,87
HARYANA,2009,Total,12572,898,1066,1086,1028,1067,1074,1027,1029,970,1059,1166,1102
HARYANA,2010,Road Accidents,11161,883,897,1035,936,932,933,892,925,816,998,939,975
HARYANA,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2010,Other Railway Accidents,1195,125,109,98,95,90,95,87,88,98,105,102,103
HARYANA,2010,Total,12356,1008,1006,1133,1031,1022,1028,979,1013,914,1103,1041,1078
HARYANA,2011,Road Accidents,10553,830,896,891,818,899,869,842,829,874,978,911,916
HARYANA,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2011,Other Railway Accidents,1252,140,122,124,118,122,123,80,79,78,84,80,102
HARYANA,2011,Total,11805,970,1018,1015,936,1021,992,922,908,952,1062,991,1018
HARYANA,2012,Road Accidents,9971,759,819,865,841,841,791,799,791,761,862,870,972
HARYANA,2012,Rail-Road Accidents,15,0,1,0,1,1,2,3,1,1,2,0,3
HARYANA,2012,Other Railway Accidents,1264,160,130,120,103,104,86,82,76,88,103,108,104
HARYANA,2012,Total,11250,919,950,985,945,946,879,884,868,850,967,978,1079
HIMACHAL PRADESH,2001,Road Accidents,2110,137,131,164,156,184,207,201,167,195,227,176,165
HIMACHAL PRADESH,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2001,Other Railway Accidents,10,1,2,1,0,1,1,1,0,0,1,1,1
HIMACHAL PRADESH,2001,Total,2120,138,133,165,156,185,208,202,167,195,228,177,166
HIMACHAL PRADESH,2002,Road Accidents,2281,135,138,183,176,230,241,216,220,189,176,184,193
HIMACHAL PRADESH,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2002,Other Railway Accidents,1,0,0,0,1,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2002,Total,2282,135,138,183,177,230,241,216,220,189,176,184,193
HIMACHAL PRADESH,2003,Road Accidents,2359,149,145,159,160,205,207,259,239,234,189,217,196
HIMACHAL PRADESH,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2003,Other Railway Accidents,16,2,1,0,0,3,1,5,0,2,1,1,0
HIMACHAL PRADESH,2003,Total,2375,151,146,159,160,208,208,264,239,236,190,218,196
HIMACHAL PRADESH,2004,Road Accidents,2515,173,183,191,207,225,231,226,208,239,230,214,188
HIMACHAL PRADESH,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2004,Other Railway Accidents,18,2,3,3,3,1,1,0,1,2,1,1,0
HIMACHAL PRADESH,2004,Total,2533,175,186,194,210,226,232,226,209,241,231,215,188
HIMACHAL PRADESH,2005,Road Accidents,2401,162,143,185,166,213,241,203,261,214,218,215,180
HIMACHAL PRADESH,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2005,Other Railway Accidents,10,1,1,0,1,1,1,1,1,0,1,1,1
HIMACHAL PRADESH,2005,Total,2411,163,144,185,167,214,242,204,262,214,219,216,181
HIMACHAL PRADESH,2006,Road Accidents,2416,161,161,215,229,240,209,203,193,199,224,183,199
HIMACHAL PRADESH,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2006,Other Railway Accidents,18,1,2,2,2,1,2,2,2,1,1,1,1
HIMACHAL PRADESH,2006,Total,2434,162,163,217,231,241,211,205,195,200,225,184,200
HIMACHAL PRADESH,2007,Road Accidents,2582,181,167,183,207,222,227,246,220,256,256,222,195
HIMACHAL PRADESH,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2007,Other Railway Accidents,17,3,2,1,1,1,3,1,3,1,1,0,0
HIMACHAL PRADESH,2007,Total,2599,184,169,184,208,223,230,247,223,257,257,222,195
HIMACHAL PRADESH,2008,Road Accidents,1982,166,132,135,179,151,174,178,166,157,210,169,165
HIMACHAL PRADESH,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2008,Other Railway Accidents,22,0,4,3,2,2,2,1,2,0,0,2,4
HIMACHAL PRADESH,2008,Total,2004,166,136,138,181,153,176,179,168,157,210,171,169
HIMACHAL PRADESH,2009,Road Accidents,3078,213,252,233,236,283,299,285,257,250,272,263,235
HIMACHAL PRADESH,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2009,Other Railway Accidents,15,0,0,0,1,2,0,3,2,2,0,2,3
HIMACHAL PRADESH,2009,Total,3093,213,252,233,237,285,299,288,259,252,272,265,238
HIMACHAL PRADESH,2010,Road Accidents,3077,216,205,239,253,278,310,275,257,256,246,297,245
HIMACHAL PRADESH,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2010,Other Railway Accidents,20,0,1,2,2,3,2,1,2,0,1,2,4
HIMACHAL PRADESH,2010,Total,3097,216,206,241,255,281,312,276,259,256,247,299,249
HIMACHAL PRADESH,2011,Road Accidents,3099,222,215,261,245,269,283,267,249,253,272,281,282
HIMACHAL PRADESH,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2011,Other Railway Accidents,27,3,2,1,4,1,2,1,4,2,3,2,2
HIMACHAL PRADESH,2011,Total,3126,225,217,262,249,270,285,268,253,255,275,283,284
HIMACHAL PRADESH,2012,Road Accidents,2899,214,191,256,243,254,274,236,270,233,219,292,217
HIMACHAL PRADESH,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2012,Other Railway Accidents,14,2,2,0,0,1,4,1,0,0,1,1,2
HIMACHAL PRADESH,2012,Total,2913,216,193,256,243,255,278,237,270,233,220,293,219
JAMMU & KASHMIR,2001,Road Accidents,5011,362,485,392,372,483,448,429,410,405,423,394,408
JAMMU & KASHMIR,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2001,Total,5011,362,485,392,372,483,448,429,410,405,423,394,408
JAMMU & KASHMIR,2002,Road Accidents,5373,336,363,427,462,452,500,544,496,425,495,453,420
JAMMU & KASHMIR,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2002,Total,5373,336,363,427,462,452,500,544,496,425,495,453,420
JAMMU & KASHMIR,2003,Road Accidents,5888,401,380,423,468,535,550,635,551,509,498,517,421
JAMMU & KASHMIR,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2003,Other Railway Accidents,44,2,4,6,12,2,3,5,3,3,2,1,1
JAMMU & KASHMIR,2003,Total,5932,403,384,429,480,537,553,640,554,512,500,518,422
JAMMU & KASHMIR,2004,Road Accidents,6281,439,463,509,503,489,588,657,559,512,531,526,505
JAMMU & KASHMIR,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2004,Total,6281,439,463,509,503,489,588,657,559,512,531,526,505
JAMMU & KASHMIR,2005,Road Accidents,5669,444,291,384,412,484,573,559,499,525,518,508,472
JAMMU & KASHMIR,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2005,Total,5669,444,291,384,412,484,573,559,499,525,518,508,472
JAMMU & KASHMIR,2006,Road Accidents,5609,332,387,467,474,516,520,541,501,448,495,455,473
JAMMU & KASHMIR,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2006,Total,5609,332,387,467,474,516,520,541,501,448,495,455,473
JAMMU & KASHMIR,2007,Road Accidents,5874,447,409,466,485,505,573,537,527,505,508,461,451
JAMMU & KASHMIR,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2007,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2007,Total,5874,447,409,466,485,505,573,537,527,505,508,461,451
JAMMU & KASHMIR,2008,Road Accidents,5426,404,376,459,486,475,537,502,306,415,535,498,433
JAMMU & KASHMIR,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2008,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2008,Total,5426,404,376,459,486,475,537,502,306,415,535,498,433
JAMMU & KASHMIR,2009,Road Accidents,6012,367,364,514,460,558,503,557,560,563,600,515,451
JAMMU & KASHMIR,2009,Rail-Road Accidents,57,6,2,3,6,3,4,7,6,5,7,4,4
JAMMU & KASHMIR,2009,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2009,Total,6069,373,366,517,466,561,507,564,566,568,607,519,455
JAMMU & KASHMIR,2010,Road Accidents,6142,452,408,553,535,539,539,552,498,470,527,576,493
JAMMU & KASHMIR,2010,Rail-Road Accidents,18,1,1,4,2,2,2,1,3,1,1,0,0
JAMMU & KASHMIR,2010,Other Railway Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,2010,Total,6160,453,409,557,537,541,541,553,501,471,528,576,493
JAMMU & KASHMIR,2011,Road Accidents,6665,394,430,500,448,645,657,648,612,610,622,565,534
JAMMU & KASHMIR,2011,Rail-Road Accidents,50,4,0,6,5,5,3,3,1,7,8,5,3
JAMMU & KASHMIR,2011,Other Railway Accidents,20,2,0,2,2,0,1,2,3,1,2,2,3
JAMMU & KASHMIR,2011,Total,6735,400,430,508,455,650,661,653,616,618,632,572,540
JAMMU & KASHMIR,2012,Road Accidents,6637,413,460,531,533,601,631,706,590,555,557,597,463
JAMMU & KASHMIR,2012,Rail-Road Accidents,44,2,5,5,5,7,2,3,5,5,3,2,0
JAMMU & KASHMIR,2012,Other Railway Accidents,15,1,0,1,1,2,2,2,0,1,4,1,0
JAMMU & KASHMIR,2012,Total,6696,416,465,537,539,610,635,711,595,561,564,600,463
JHARKHAND,2001,Road Accidents,995,83,76,88,95,94,70,79,88,78,81,86,77
JHARKHAND,2001,Rail-Road Accidents,36,3,5,4,6,3,1,2,4,1,1,3,3
JHARKHAND,2001,Other Railway Accidents,152,11,5,12,11,16,11,21,21,9,12,12,11
JHARKHAND,2001,Total,1183,97,86,104,112,113,82,102,113,88,94,101,91
JHARKHAND,2002,Road Accidents,880,85,41,70,91,80,69,67,80,79,75,68,75
JHARKHAND,2002,Rail-Road Accidents,18,4,2,1,1,1,1,1,2,1,2,1,1
JHARKHAND,2002,Other Railway Accidents,142,10,6,13,14,15,9,18,14,10,14,11,8
JHARKHAND,2002,Total,1040,99,49,84,106,96,79,86,96,90,91,80,84
JHARKHAND,2003,Road Accidents,880,80,42,72,90,85,70,68,89,69,70,69,76
JHARKHAND,2003,Rail-Road Accidents,18,5,2,1,1,1,1,0,2,1,2,1,1
JHARKHAND,2003,Other Railway Accidents,142,11,7,14,15,16,10,7,15,11,15,12,9
JHARKHAND,2003,Total,1040,96,51,87,106,102,81,75,106,81,87,82,86
JHARKHAND,2004,Road Accidents,1295,116,99,105,122,128,102,73,125,104,106,106,109
JHARKHAND,2004,Rail-Road Accidents,18,5,2,1,1,1,1,0,2,1,2,1,1
JHARKHAND,2004,Other Railway Accidents,142,11,7,14,15,16,10,7,15,11,15,12,9
JHARKHAND,2004,Total,1455,132,108,120,138,145,113,80,142,116,123,119,119
JHARKHAND,2005,Road Accidents,2739,228,179,295,253,325,236,220,201,165,193,232,212
JHARKHAND,2005,Rail-Road Accidents,543,59,0,64,59,0,56,61,60,63,56,0,65
JHARKHAND,2005,Other Railway Accidents,4,0,0,1,0,0,1,0,0,1,0,0,1
JHARKHAND,2005,Total,3286,287,179,360,312,325,293,281,261,229,249,232,278
JHARKHAND,2006,Road Accidents,4301,322,379,400,392,335,395,400,324,312,324,359,359
JHARKHAND,2006,Rail-Road Accidents,451,50,50,25,50,100,0,51,0,0,50,25,50
JHARKHAND,2006,Other Railway Accidents,5,1,1,0,1,1,0,1,0,0,0,0,0
JHARKHAND,2006,Total,4757,373,430,425,443,436,395,452,324,312,374,384,409
JHARKHAND,2007,Road Accidents,4504,429,368,398,393,513,412,310,320,311,363,312,375
JHARKHAND,2007,Rail-Road Accidents,34,3,3,3,3,2,2,4,3,2,2,3,4
JHARKHAND,2007,Other Railway Accidents,586,50,68,55,42,63,38,54,42,49,46,42,37
JHARKHAND,2007,Total,5124,482,439,456,438,578,452,368,365,362,411,357,416
JHARKHAND,2008,Road Accidents,3259,230,203,225,278,355,333,265,201,276,299,297,297
JHARKHAND,2008,Rail-Road Accidents,6,2,0,2,0,1,0,1,0,0,0,0,0
JHARKHAND,2008,Other Railway Accidents,477,27,28,35,44,47,55,37,38,42,46,44,34
JHARKHAND,2008,Total,3742,259,231,262,322,403,388,303,239,318,345,341,331
JHARKHAND,2009,Road Accidents,4536,327,342,457,360,478,427,372,340,327,354,374,378
JHARKHAND,2009,Rail-Road Accidents,13,0,0,0,1,0,1,10,0,0,0,1,0
JHARKHAND,2009,Other Railway Accidents,543,40,32,52,42,47,54,51,52,57,41,36,39
JHARKHAND,2009,Total,5092,367,374,509,403,525,482,433,392,384,395,411,417
JHARKHAND,2010,Road Accidents,4228,252,360,357,351,383,436,365,322,333,353,336,380
JHARKHAND,2010,Rail-Road Accidents,1,0,0,0,0,0,0,0,0,0,1,0,0
JHARKHAND,2010,Other Railway Accidents,289,20,16,24,30,28,29,27,25,24,22,19,25
JHARKHAND,2010,Total,4518,272,376,381,381,411,465,392,347,357,376,355,405
JHARKHAND,2011,Road Accidents,3901,323,326,338,364,408,356,316,279,287,297,316,291
JHARKHAND,2011,Rail-Road Accidents,10,0,2,2,4,0,0,0,0,0,2,0,0
JHARKHAND,2011,Other Railway Accidents,621,41,67,55,68,75,59,46,49,36,39,46,40
JHARKHAND,2011,Total,4532,364,395,395,436,483,415,362,328,323,338,362,331
JHARKHAND,2012,Road Accidents,4625,369,374,387,457,364,396,346,355,373,381,391,432
JHARKHAND,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,2012,Other Railway Accidents,602,42,45,51,50,41,58,52,58,59,51,55,40
JHARKHAND,2012,Total,5227,411,419,438,507,405,454,398,413,432,432,446,472
KARNATAKA,2001,Road Accidents,32860,2706,2600,2704,2816,3215,2783,2656,2539,2437,2582,2744,3078
KARNATAKA,2001,Rail-Road Accidents,140,10,11,18,12,18,7,5,18,8,8,10,15
KARNATAKA,2001,Other Railway Accidents,563,47,41,64,61,66,31,37,35,34,87,24,36
KARNATAKA,2001,Total,33563,2763,2652,2786,2889,3299,2821,2698,2592,2479,2677,2778,3129
KARNATAKA,2002,Road Accidents,35661,2885,2860,2906,2995,3415,2987,2812,2875,2815,2908,2954,3249
KARNATAKA,2002,Rail-Road Accidents,123,13,9,12,14,7,7,7,13,4,6,17,14
KARNATAKA,2002,Other Railway Accidents,600,49,39,49,52,72,50,56,40,55,44,47,47
KARNATAKA,2002,Total,36384,2947,2908,2967,3061,3494,3044,2875,2928,2874,2958,3018,3310
KARNATAKA,2003,Road Accidents,37511,3063,2986,2947,2940,3456,3199,2999,2994,3001,3147,3304,3475
KARNATAKA,2003,Rail-Road Accidents,147,9,14,8,8,12,14,13,16,6,14,17,16
KARNATAKA,2003,Other Railway Accidents,579,49,39,48,51,61,39,54,41,56,45,47,49
KARNATAKA,2003,Total,38237,3121,3039,3003,2999,3529,3252,3066,3051,3063,3206,3368,3540
KARNATAKA,2004,Road Accidents,38751,3389,3357,3358,3180,3329,3066,3040,2893,3093,3011,3309,3726
KARNATAKA,2004,Rail-Road Accidents,118,13,11,15,14,17,11,8,9,3,3,11,3
KARNATAKA,2004,Other Railway Accidents,655,46,43,75,50,35,60,51,37,71,60,74,53
KARNATAKA,2004,Total,39524,3448,3411,3448,3244,3381,3137,3099,2939,3167,3074,3394,3782
KARNATAKA,2005,Road Accidents,40273,3457,3196,3566,3339,4075,3354,3151,3018,3184,3237,3177,3519
KARNATAKA,2005,Rail-Road Accidents,45,4,6,5,3,4,4,6,1,1,4,5,2
KARNATAKA,2005,Other Railway Accidents,1142,69,103,145,83,110,147,136,64,54,82,73,76
KARNATAKA,2005,Total,41460,3530,3305,3716,3425,4189,3505,3293,3083,3239,3323,3255,3597
KARNATAKA,2006,Road Accidents,43280,3618,3278,3766,3693,4132,3356,3361,3473,3519,3621,3508,3955
KARNATAKA,2006,Rail-Road Accidents,36,2,3,1,2,5,3,4,1,5,3,4,3
KARNATAKA,2006,Other Railway Accidents,1168,71,105,144,94,110,147,136,68,58,86,73,76
KARNATAKA,2006,Total,44484,3691,3386,3911,3789,4247,3506,3501,3542,3582,3710,3585,4034
KARNATAKA,2007,Road Accidents,46334,3801,3613,3932,4274,4440,3878,3629,3619,3499,3830,3709,4110
KARNATAKA,2007,Rail-Road Accidents,29,1,4,2,2,1,5,3,1,4,1,2,3
KARNATAKA,2007,Other Railway Accidents,1232,81,177,72,189,45,55,129,168,45,68,96,107
KARNATAKA,2007,Total,47595,3883,3794,4006,4465,4486,3938,3761,3788,3548,3899,3807,4220
KARNATAKA,2008,Road Accidents,46252,4092,3922,4203,4295,4236,3792,3634,3555,3424,3728,3540,3831
